,Unnamed: 0,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,Unnamed: 0.1,AGE_IN_YEARS,EMPLOYED_IN_YEARS,index2,0,PREDICTION,index1
0,0,5105143.0,M,Y,Y,1.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,14263.0,2553.0,1,1,1,0,Laborers,3.0,,39.0,7.0,0,1,1,0
1,1,5105144.0,M,Y,Y,1.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,14263.0,2553.0,1,1,1,0,Laborers,3.0,,39.0,7.0,1,1,1,1
2,2,5512969.0,M,Y,Y,1.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,14263.0,2553.0,1,1,1,0,Laborers,3.0,,39.0,7.0,2,1,1,2
3,3,5105145.0,F,N,Y,0.0,90000.0,Working,Higher education,Married,House / apartment,18940.0,1763.0,1,0,0,0,Sales staff,2.0,,52.0,5.0,3,0,0,3
4,4,5105146.0,F,N,Y,0.0,90000.0,Working,Higher education,Married,House / apartment,18940.0,1763.0,1,0,0,0,Sales staff,2.0,,52.0,5.0,4,0,0,4
5,5,5105147.0,F,N,Y,0.0,90000.0,Working,Higher education,Married,House / apartment,18940.0,1763.0,1,0,0,0,Sales staff,2.0,,52.0,5.0,5,0,0,5
6,6,5105150.0,F,N,Y,0.0,90000.0,Working,Higher education,Married,House / apartment,18940.0,1763.0,1,0,0,0,Sales staff,2.0,,52.0,5.0,6,0,0,6
7,7,5105156.0,F,Y,Y,2.0,112500.0,Working,Higher education,Married,House / apartment,13405.0,3252.0,1,0,1,0,Accountants,4.0,,37.0,9.0,7,0,0,7
8,8,5105158.0,F,Y,Y,2.0,112500.0,Working,Higher education,Married,House / apartment,13405.0,3252.0,1,0,1,0,Accountants,4.0,,37.0,9.0,8,0,0,8
9,9,5512971.0,F,Y,Y,2.0,112500.0,Working,Higher education,Married,House / apartment,13405.0,3252.0,1,0,1,0,Accountants,4.0,,37.0,9.0,9,0,0,9
10,10,5512972.0,F,Y,Y,2.0,112500.0,Working,Higher education,Married,House / apartment,13405.0,3252.0,1,0,1,0,Accountants,4.0,,37.0,9.0,10,0,0,10
11,11,5105159.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,11,1,1,11
12,12,5105160.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,12,1,1,12
13,13,5105161.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,13,1,1,13
14,14,5105162.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,14,1,1,14
15,15,5105163.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,15,1,1,15
16,16,5105164.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,16,1,1,16
17,17,5105165.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,17,1,1,17
18,18,5105166.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,18,1,1,18
19,19,5105167.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,19,1,1,19
20,20,5105168.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,20,1,1,20
21,21,5105169.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,21,1,1,21
22,22,5105170.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,22,1,1,22
23,23,5105171.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,23,1,1,23
24,24,5105172.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,24,1,1,24
25,25,5105173.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,12238.0,2187.0,1,1,1,0,Managers,4.0,,34.0,6.0,25,1,1,25
26,26,5105178.0,M,N,Y,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,16165.0,848.0,1,1,0,0,Laborers,2.0,,44.0,2.0,26,1,1,26
27,27,5105181.0,M,N,Y,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,16165.0,848.0,1,1,0,0,Laborers,2.0,,44.0,2.0,27,1,1,27
28,28,5105183.0,M,N,Y,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,16165.0,848.0,1,1,0,0,Laborers,2.0,,44.0,2.0,28,1,1,28
29,29,5105184.0,M,N,Y,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,16165.0,848.0,1,1,0,0,Laborers,2.0,,44.0,2.0,29,1,1,29
30,30,5105185.0,M,N,Y,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,16165.0,848.0,1,1,0,0,Laborers,2.0,,44.0,2.0,30,1,1,30
31,31,5105186.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,10499.0,545.0,1,0,0,1,Laborers,1.0,,29.0,1.0,31,1,1,31
32,32,5105187.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,10499.0,545.0,1,0,0,1,Laborers,1.0,,29.0,1.0,32,1,1,32
33,33,5105188.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,10499.0,545.0,1,0,0,1,Laborers,1.0,,29.0,1.0,33,1,1,33
34,34,5105189.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,10499.0,545.0,1,0,0,1,Laborers,1.0,,29.0,1.0,34,1,1,34
35,35,5105190.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,10499.0,545.0,1,0,0,1,Laborers,1.0,,29.0,1.0,35,1,1,35
36,36,5105191.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,10499.0,545.0,1,0,0,1,Laborers,1.0,,29.0,1.0,36,1,1,36
37,37,5105192.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,10499.0,545.0,1,0,0,1,Laborers,1.0,,29.0,1.0,37,1,1,37
38,38,5105193.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,10499.0,545.0,1,0,0,1,Laborers,1.0,,29.0,1.0,38,1,1,38
39,39,5105194.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,10499.0,545.0,1,0,0,1,Laborers,1.0,,29.0,1.0,39,1,1,39
40,40,5105195.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,10499.0,545.0,1,0,0,1,Laborers,1.0,,29.0,1.0,40,1,1,40
41,41,5105196.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,10499.0,545.0,1,0,0,1,Laborers,1.0,,29.0,1.0,41,1,1,41
42,42,5105197.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,10499.0,545.0,1,0,0,1,Laborers,1.0,,29.0,1.0,42,1,1,42
43,43,5105200.0,M,Y,Y,2.0,180000.0,Working,Higher education,Married,House / apartment,17330.0,848.0,1,0,0,0,Drivers,4.0,,47.0,2.0,43,1,1,43
44,44,5105205.0,M,Y,Y,2.0,180000.0,Working,Higher education,Married,House / apartment,17330.0,848.0,1,0,0,0,Drivers,4.0,,47.0,2.0,44,1,1,44
45,45,5105206.0,M,Y,Y,2.0,180000.0,Working,Higher education,Married,House / apartment,17330.0,848.0,1,0,0,0,Drivers,4.0,,47.0,2.0,45,1,1,45
46,46,5105208.0,F,N,N,0.0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16017.0,1398.0,1,0,0,0,Laborers,2.0,,44.0,4.0,46,1,1,46
47,47,5105210.0,F,N,N,0.0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16017.0,1398.0,1,0,0,0,Laborers,2.0,,44.0,4.0,47,1,1,47
48,48,5105211.0,F,N,N,0.0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16017.0,1398.0,1,0,0,0,Laborers,2.0,,44.0,4.0,48,1,1,48
49,49,5105212.0,F,N,N,0.0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16017.0,1398.0,1,0,0,0,Laborers,2.0,,44.0,4.0,49,1,1,49
50,50,5105213.0,F,N,N,0.0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16017.0,1398.0,1,0,0,0,Laborers,2.0,,44.0,4.0,50,1,1,50
51,51,6586899.0,F,Y,Y,0.0,279000.0,Working,Higher education,Married,House / apartment,9949.0,1229.0,1,0,0,1,IT staff,2.0,,27.0,3.0,51,0,0,51
52,52,6586900.0,F,Y,Y,0.0,279000.0,Working,Higher education,Married,House / apartment,9949.0,1229.0,1,0,0,1,IT staff,2.0,,27.0,3.0,52,0,0,52
53,53,5105217.0,F,Y,N,1.0,85500.0,State servant,Higher education,Married,House / apartment,10044.0,971.0,1,0,0,1,Accountants,3.0,,28.0,3.0,53,0,0,53
54,54,5105218.0,F,Y,N,1.0,85500.0,State servant,Higher education,Married,House / apartment,10044.0,971.0,1,0,0,1,Accountants,3.0,,28.0,3.0,54,0,0,54
55,55,5105219.0,M,N,Y,0.0,135000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,8755.0,1061.0,1,0,0,0,Laborers,1.0,,24.0,3.0,55,1,1,55
56,56,5105220.0,M,N,Y,0.0,135000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,8755.0,1061.0,1,0,0,0,Laborers,1.0,,24.0,3.0,56,1,1,56
57,57,5105221.0,F,Y,Y,1.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,15068.0,2067.0,1,0,0,0,Sales staff,3.0,,41.0,6.0,57,1,1,57
58,58,5105222.0,F,Y,Y,1.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,15068.0,2067.0,1,0,0,0,Sales staff,3.0,,41.0,6.0,58,1,1,58
59,59,5105224.0,F,Y,Y,1.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,15068.0,2067.0,1,0,0,0,Sales staff,3.0,,41.0,6.0,59,1,1,59
60,60,5513263.0,F,Y,Y,1.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,15068.0,2067.0,1,0,0,0,Sales staff,3.0,,41.0,6.0,60,1,1,60
61,61,5105225.0,F,N,Y,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,17365.0,2128.0,1,0,0,0,Laborers,2.0,,48.0,6.0,61,1,1,61
62,62,5105226.0,F,N,Y,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,17365.0,2128.0,1,0,0,0,Laborers,2.0,,48.0,6.0,62,1,1,62
63,63,5105227.0,F,N,Y,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,17365.0,2128.0,1,0,0,0,Laborers,2.0,,48.0,6.0,63,1,1,63
64,64,5513306.0,F,N,Y,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,17365.0,2128.0,1,0,0,0,Laborers,2.0,,48.0,6.0,64,1,1,64
65,65,5105230.0,F,Y,N,1.0,157500.0,Working,Higher education,Married,House / apartment,11900.0,2828.0,1,0,0,0,Laborers,3.0,,33.0,8.0,65,0,0,65
66,66,5105231.0,F,Y,N,1.0,157500.0,Working,Higher education,Married,House / apartment,11900.0,2828.0,1,0,0,0,Laborers,3.0,,33.0,8.0,66,0,0,66
67,67,5105237.0,F,N,Y,0.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,11931.0,271.0,1,1,1,0,Sales staff,2.0,,33.0,1.0,67,1,1,67
68,68,5105238.0,F,N,Y,0.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,11931.0,271.0,1,1,1,0,Sales staff,2.0,,33.0,1.0,68,1,1,68
69,69,5105239.0,M,N,Y,2.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,12998.0,392.0,1,1,0,0,Security staff,4.0,,36.0,1.0,69,1,1,69
70,70,5105240.0,M,N,Y,2.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,12998.0,392.0,1,1,0,0,Security staff,4.0,,36.0,1.0,70,1,1,70
71,71,5105241.0,F,N,N,0.0,112500.0,Working,Secondary / secondary special,Married,House / apartment,14133.0,1214.0,1,0,0,0,Medicine staff,2.0,,39.0,3.0,71,1,1,71
72,72,5105242.0,F,N,N,0.0,112500.0,Working,Secondary / secondary special,Married,House / apartment,14133.0,1214.0,1,0,0,0,Medicine staff,2.0,,39.0,3.0,72,1,1,72
73,73,5105245.0,F,N,N,0.0,207000.0,Working,Higher education,Married,House / apartment,14740.0,6723.0,1,0,1,0,Core staff,2.0,,40.0,18.0,73,0,0,73
74,74,5105246.0,F,N,N,0.0,207000.0,Working,Higher education,Married,House / apartment,14740.0,6723.0,1,0,1,0,Core staff,2.0,,40.0,18.0,74,0,0,74
75,75,5105248.0,F,N,N,0.0,207000.0,Working,Higher education,Married,House / apartment,14740.0,6723.0,1,0,1,0,Core staff,2.0,,40.0,18.0,75,0,0,75
76,76,5105249.0,F,N,N,0.0,207000.0,Working,Higher education,Married,House / apartment,14740.0,6723.0,1,0,1,0,Core staff,2.0,,40.0,18.0,76,0,0,76
77,77,5105250.0,F,N,N,0.0,207000.0,Working,Higher education,Married,House / apartment,14740.0,6723.0,1,0,1,0,Core staff,2.0,,40.0,18.0,77,0,0,77
78,78,5105251.0,F,N,N,0.0,207000.0,Working,Higher education,Married,House / apartment,14740.0,6723.0,1,0,1,0,Core staff,2.0,,40.0,18.0,78,0,0,78
79,79,5105252.0,F,N,N,0.0,207000.0,Working,Higher education,Married,House / apartment,14740.0,6723.0,1,0,1,0,Core staff,2.0,,40.0,18.0,79,0,0,79
80,80,5105253.0,M,Y,Y,0.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,13527.0,1153.0,1,0,0,0,High skill tech staff,2.0,,37.0,3.0,80,1,1,80
81,81,5105254.0,M,Y,Y,0.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,13527.0,1153.0,1,0,0,0,High skill tech staff,2.0,,37.0,3.0,81,1,1,81
82,82,5105255.0,M,Y,Y,0.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,13527.0,1153.0,1,0,0,0,High skill tech staff,2.0,,37.0,3.0,82,1,1,82
83,83,5105256.0,M,Y,Y,0.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,13527.0,1153.0,1,0,0,0,High skill tech staff,2.0,,37.0,3.0,83,1,1,83
84,84,5105257.0,M,Y,Y,0.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,13527.0,1153.0,1,0,0,0,High skill tech staff,2.0,,37.0,3.0,84,1,1,84
85,85,5105258.0,M,Y,Y,0.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,13527.0,1153.0,1,0,0,0,High skill tech staff,2.0,,37.0,3.0,85,1,1,85
86,86,5105259.0,M,Y,Y,0.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,13527.0,1153.0,1,0,0,0,High skill tech staff,2.0,,37.0,3.0,86,1,1,86
87,87,5105260.0,M,N,Y,0.0,180000.0,Working,Incomplete higher,Single / not married,House / apartment,10305.0,210.0,1,0,0,1,Laborers,1.0,,28.0,1.0,87,1,1,87
88,88,5105261.0,M,N,Y,0.0,180000.0,Working,Incomplete higher,Single / not married,House / apartment,10305.0,210.0,1,0,0,1,Laborers,1.0,,28.0,1.0,88,1,1,88
89,89,5105262.0,M,N,Y,0.0,180000.0,Working,Incomplete higher,Single / not married,House / apartment,10305.0,210.0,1,0,0,1,Laborers,1.0,,28.0,1.0,89,1,1,89
90,90,5105263.0,M,N,Y,0.0,180000.0,Working,Incomplete higher,Single / not married,House / apartment,10305.0,210.0,1,0,0,1,Laborers,1.0,,28.0,1.0,90,1,1,90
91,91,5105264.0,F,N,Y,2.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,10705.0,149.0,1,0,0,0,Core staff,4.0,,29.0,0.0,91,1,1,91
92,92,5105265.0,F,N,Y,2.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,10705.0,149.0,1,0,0,0,Core staff,4.0,,29.0,0.0,92,1,1,92
93,93,5105266.0,F,N,Y,2.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,10705.0,149.0,1,0,0,0,Core staff,4.0,,29.0,0.0,93,1,1,93
94,94,5513477.0,F,N,Y,2.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,10705.0,149.0,1,0,0,0,Core staff,4.0,,29.0,0.0,94,1,1,94
95,95,5105280.0,F,N,Y,1.0,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,18682.0,514.0,1,0,1,0,Laborers,3.0,,51.0,1.0,95,1,1,95
96,96,5105283.0,M,Y,N,0.0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,10866.0,636.0,1,0,0,0,Drivers,1.0,,30.0,2.0,96,1,1,96
97,97,5105288.0,M,Y,N,0.0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,10866.0,636.0,1,0,0,0,Drivers,1.0,,30.0,2.0,97,1,1,97
98,98,5105289.0,M,Y,N,0.0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,10866.0,636.0,1,0,0,0,Drivers,1.0,,30.0,2.0,98,1,1,98
99,99,5105290.0,F,N,N,0.0,112500.0,Working,Secondary / secondary special,Widow,With parents,10240.0,818.0,1,1,1,0,Core staff,1.0,,28.0,2.0,99,0,0,99
100,0,0.0,M,Y,Y,1.0,50000.0,Pensioner,Academic degree,Married,Municipal apartment,20075.0,4380.0,1,1,1,1,Sales staff,3.0,0.0,55.0,12.0,100,0,0,100
